Sentence,Aspect,Opinion,Sentiment,Category
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",decor,elegant and tasteful,positive,AMBIENCE#GENERAL
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",dining atmosphere,pleasant,positive,AMBIENCE#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",decor,elegant and tasteful,positive,AMBIENCE#GENERAL
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",dining atmosphere,pleasant,positive,AMBIENCE#GENERAL
"The internet speed at the hotel was fast, allowing for smooth browsing and streaming.",internet speed,fast,positive,PORTS#OPERATION_PERFORMANCE
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",decor,elegant and tasteful,positive,AMBIENCE#GENERAL
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",dining atmosphere,pleasant,positive,AMBIENCE#GENERAL
"The internet speed at the hotel was fast, allowing for smooth browsing and streaming.",internet speed,fast,positive,PORTS#OPERATION_PERFORMANCE
"The variety of dishes on the menu was impressive, catering to different tastes and preferences.",variety of dishes,impressive,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",decor,elegant and tasteful,positive,AMBIENCE#GENERAL
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",dining atmosphere,pleasant,positive,AMBIENCE#GENERAL
"The internet speed at the hotel was fast, allowing for smooth browsing and streaming.",internet speed,fast,positive,PORTS#OPERATION_PERFORMANCE
"The variety of dishes on the menu was impressive, catering to different tastes and preferences.",variety of dishes,impressive,positive,FOOD#QUALITY
"The comfort of the seating arrangement was satisfactory, but the chairs could be more cushioned.",seating arrangement,comfortable,positive,AMBIENCE#GENERAL
"The comfort of the seating arrangement was satisfactory, but the chairs could be more cushioned.",chairs,could be more cushioned,neutral,AMBIENCE#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
