review_id,term_actual,term_predicted,opinion_actual,opinion_predicted,aspect_actual,aspect_predicted,sentiment_actual,sentiment_predicted,review_len
6,staff,NA,attitude,NA,SERVICE#GENERAL,NA,negative,NA,240
7,kubideh kebab,kubideh kebab,favourite,favourite,FOOD#QUALITY,FOOD#QUALITY,positive,positive,19
7,shik kebab,shik kebab,favourite,favourite,FOOD#QUALITY,FOOD#QUALITY,positive,positive,19
8,service,service,detailed,detailed,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,17
8,bbq pak food,bbq pak food,good,good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,17
8,mango lassi,NA,improve,NA,DRINKS#QUALITY,NA,negative,NA,17
8,NA,moon lassi,NA,improve,NA,FOOD#QUALITY,NA,positive,17
9,Matcha dessert,Matcha dessert,delicious,delicious,FOOD#QUALITY,FOOD#QUALITY,positive,positive,25
9,services,services,good,good,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,25
9,environment,environment,good,good,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,25
9,worker,worker,friendly,friendly,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,25
9,worker,NA,kind,NA,SERVICE#GENERAL,NA,positive,NA,25
9,worker,NA,patience,NA,SERVICE#GENERAL,NA,positive,NA,25
9,worker,NA,happy,NA,SERVICE#GENERAL,NA,positive,NA,25
10,red snapper congee,red snapper congee,NULL,not worth It,FOOD#QUALITY,FOOD#QUALITY,negative,negative,77
10,Soybean drink,Soybean drink,taste of gelatin,thicker,DRINKS#QUALITY,FOOD#QUALITY,negative,negative,77
10,NULL,NULL,Not Worth ItNothing special,over price,RESTAURANT#GENERAL,SERVICE#GENERAL,negative,negative,77
10,NULL,NA,over price,NA,RESTAURANT#PRICES,NA,negative,NA,77
10,NULL,NA,foreign workers who act like robots,NA,SERVICE#GENERAL,NA,negative,NA,77
10,NULL,NA,cut cost,NA,FOOD#STYLE_OPTIONS,NA,negative,NA,77
10,NULL,NA,NULL,NA,FOOD#QUALITY,NA,negative,NA,77
10,NA,soybean drink,NA,taste of gelatin,NA,FOOD#QUALITY,NA,negative,77
10,NA,gelatin,NA,taste of Soybean drink,NA,FOOD#STYLE_OPTIONS,NA,negative,77
11,sushi,sushi,under done,good,FOOD#QUALITY,FOOD#QUALITY,negative,negative,122
11,sushi,sushi,not very fresh,fresh,FOOD#QUALITY,FOOD#QUALITY,negative,negative,122
11,NULL,NA,good,NA,FOOD#QUALITY,NA,positive,NA,122
11,spread,NA,good,NA,FOOD#QUALITY,NA,positive,NA,122
11,NULL,NA,good,NA,RESTAURANT#GENERAL,NA,positive,NA,122
11,NA,sushi,NA,under done,NA,FOOD#QUALITY,NA,negative,122
11,NA,rice,NA,under done,NA,FOOD#QUALITY,NA,negative,122
11,NA,food,NA,good,NA,FOOD#QUALITY,NA,positive,122
12,food,food,good,good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,22
12,view,view,beautiful,beautiful,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,22
12,staff,NA,helpful,NA,SERVICE#GENERAL,NA,positive,NA,22
12,staff,NA,friendly,NA,SERVICE#GENERAL,NA,positive,NA,22
12,NA,staff Myna,NA,helpful,NA,SERVICE#GENERAL,NA,positive,22
13,butter prawns,butter prawns,excellently cooked,excellently cooked,FOOD#QUALITY,FOOD#QUALITY,positive,positive,75
13,lemongrass chicken,lemongrass chicken,excellently cooked,excellently cooked,FOOD#QUALITY,FOOD#QUALITY,positive,positive,75
13,banana fritter,banana fritter,fab,fab,FOOD#QUALITY,FOOD#QUALITY,positive,positive,75
13,Service,Service,prompt,prompt,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,75
13,Service,NA,well attended,NA,SERVICE#GENERAL,NA,positive,NA,75
13,ambience,NA,excellent vibe,NA,AMBIENCE#GENERAL,NA,positive,NA,75
13,NULL,NULL,welcoming,recommended,RESTAURANT#GENERAL,AMBIENCE#GENERAL,positive,positive,75
13,NULL,NA,recommended,NA,RESTAURANT#GENERAL,NA,positive,NA,75
13,NA,waiter Jonathan,NA,well attended,NA,SERVICE#GENERAL,NA,positive,75
14,risotto,risotto,terrible,decent,FOOD#QUALITY,FOOD#QUALITY,negative,negative,223
14,NULL,NULL,mediocre,NULL,FOOD#QUALITY,AMBIENCE#GENERAL,negative,negative,223
14,NULL,NULL,NULL,NULL,SERVICE#GENERAL,AMBIENCE#GENERAL,negative,negative,223
14,dishes,NA,NULL,NA,SERVICE#GENERAL,NA,negative,NA,223
15,food,food,excellent,excellent,FOOD#QUALITY,FOOD#QUALITY,positive,positive,114
15,coffee,coffee,excellent,excellent,DRINKS#QUALITY,FOOD#QUALITY,positive,positive,114
15,NULL,NULL,fresh,excellent,FOOD#QUALITY,AMBIENCE#GENERAL,positive,negative,114
15,NULL,NULL,tasty,NULL,FOOD#QUALITY,AMBIENCE#GENERAL,positive,negative,114
15,NULL,NULL,well presented,NULL,FOOD#STYLE_OPTIONS,AMBIENCE#GENERAL,positive,negative,114
15,decor,NA,NULL,NA,AMBIENCE#GENERAL,NA,negative,NA,114
15,fan noise,NA,loud,NA,AMBIENCE#GENERAL,NA,negative,NA,114
15,toilets,NA,not clean,NA,AMBIENCE#GENERAL,NA,negative,NA,114
15,floors,NA,painted a dirty grey,NA,AMBIENCE#GENERAL,NA,negative,NA,114
15,walls,NA,painted a dirty grey,NA,AMBIENCE#GENERAL,NA,negative,NA,114
15,menu cards,NA,tatty,NA,FOOD#STYLE_OPTIONS,NA,negative,NA,114
15,NA,air con,NA,unbelievable,NA,AMBIENCE#GENERAL,NA,positive,114
16,Xiao Long Pao,Xiao Long Pao,best,best,FOOD#QUALITY,FOOD#QUALITY,positive,positive,75
16,Chee Cheong Fun,Chee Cheong Fun,crispy duck,OK,FOOD#QUALITY,FOOD#QUALITY,positive,positive,75
16,Service,Service,attentive,attentive,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,75
16,NULL,NULL,OK,NULL,FOOD#QUALITY,AMBIENCE#GENERAL,neutral,positive,75
16,NULL,NA,nothing spectacular,NA,FOOD#QUALITY,NA,neutral,NA,75
16,NULL,NA,attentive,NA,SERVICE#GENERAL,NA,positive,NA,75
17,Ribeye,Ribeye,perfect,perfect,FOOD#QUALITY,FOOD#QUALITY,positive,positive,104
17,Sirloin Steak,Sirloin Steak,bit too rare,a bit too rare,FOOD#QUALITY,FOOD#QUALITY,negative,positive,104
17,NULL,NULL,friendly,good,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,104
17,NULL,NULL,helpful,good,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,104
17,Fried Banana Fritters,NA,delicious,NA,FOOD#QUALITY,NA,positive,NA,104
17,Cream Brulae,NA,delicious,NA,FOOD#QUALITY,NA,positive,NA,104
17,NULL,NULL,perfect,good,FOOD#QUALITY,SERVICE#GENERAL,positive,positive,104
17,NA,NULL,NA,good,NA,SERVICE#GENERAL,NA,positive,104
18,ambience,ambience,nice,nice,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,18
18,waiters,waiters,good service,good service,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,18
18,prices,NA,affordable,NA,PRICES#GENERAL,NA,positive,NA,18
18,NA,Price,NA,affordable,NA,AMBIENCE#GENERAL,NA,positive,18
18,NA,food,NA,affordable,NA,FOOD#QUALITY,NA,positive,18
19,vegies,vegies,salty,salty,FOOD#QUALITY,FOOD#QUALITY,negative,negative,75
19,NULL,NA,good,NA,FOOD#QUALITY,NA,positive,NA,75
19,owner,owner,friendly,friendly,SERVICE#GENERAL,FOOD#QUALITY,positive,negative,75
19,serve,NA,fast,NA,SERVICE#GENERAL,NA,positive,NA,75
19,NULL,NA,acceptable,NA,FOOD#PRICES,NA,positive,NA,75
19,NULL,NA,crowded,NA,RESTAURANT#GENERAL,NA,negative,NA,75
19,parking lot,parking lot,Huge,crowded,RESTAURANT#MISCELLANEOUS,SERVICE#GENERAL,positive,positive,75
20,Pizza,Pizza,Best,Best,FOOD#QUALITY,FOOD#QUALITY,positive,positive,37
20,foods,foods,Best,Best,FOOD#QUALITY,FOOD#QUALITY,positive,positive,37
20,drink,drink,good,good,DRINKS#QUALITY,DRINKS#QUALITY,positive,positive,37
20,Music,Music,happy,happy,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,37
20,Quivo,Quivo,enjoy,good,RESTAURANT#GENERAL,AMBIENCE#GENERAL,positive,positive,37
20,Quivo,NA,good,NA,RESTAURANT#GENERAL,NA,positive,NA,37
20,Quivo,NA,happy,NA,AMBIENCE#GENERAL,NA,positive,NA,37
21,environment,environment,Lovely,lovely,AMBIENCE#GENERAL,RESTAURANT#GENERAL,positive,positive,25
21,environment,NA,cosy,NA,AMBIENCE#GENERAL,NA,positive,NA,25
21,selection of Asian curries,selection of Asian curries,great,great,FOOD#QUALITY,FOOD#QUALITY,positive,positive,25
21,selection of noodles,NA,great,NA,FOOD#QUALITY,NA,positive,NA,25
21,selection of Japanese dishes,NA,great,NA,FOOD#QUALITY,NA,positive,NA,25
21,selection of Western dishes,NA,great,NA,FOOD#QUALITY,NA,positive,NA,25
21,desserts,desserts,Excellent,excellent,FOOD#QUALITY,FOOD#QUALITY,positive,positive,25
21,coffee,coffee,Excellent,excellent,DRINKS#QUALITY,FOOD#QUALITY,positive,positive,25
21,pricing,NA,reasonable,NA,FOOD#PRICES,NA,positive,NA,25
21,pricing,NA,reasonable,NA,DRINKS#PRICES,NA,positive,NA,25
21,service,service,Wonderful,wonderful,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,25
21,NA,noodles,NA,great,NA,FOOD#QUALITY,NA,positive,25
21,NA,Japanese and Western dishes,NA,excellent,NA,FOOD#QUALITY,NA,positive,25
21,NA,prices,NA,reasonable,NA,FOOD#PRICES,NA,positive,25
22,staffs,NA,friendly,NA,SERVICE#GENERAL,NA,positive,NA,23
22,coffee latte,coffee latte,average ok,average ok,DRINKS#QUALITY,FOOD#QUALITY,neutral,positive,23
22,bread,bread,NULL,average ok,FOOD#QUALITY,FOOD#QUALITY,neutral,negative,23
22,almond croissant,almond croissant,too sweet,too sweet,FOOD#QUALITY,FOOD#QUALITY,negative,negative,23
22,NA,Staffs,NA,friendly,NA,SERVICE#GENERAL,NA,positive,23
23,decoration,decoration,impressive,impressive,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,68
23,decoration,NA,impressive,NA,RESTAURANT#GENERAL,NA,positive,NA,68
23,ambience,ambience,good,good,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,68
23,selection of the food,selection of the food,good,good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,68
23,Chee Cheong fun with the crispy duck,Chee Cheong fun with the crispy duck,good,good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,68
23,Chee Cheong fun with the crispy duck,NA,good,NA,FOOD#STYLE_OPTIONS,NA,positive,NA,68
23,Dim Sum selection,Dim Sum selection,OK,OK,FOOD#QUALITY,AMBIENCE#GENERAL,neutral,positive,68
23,staff services,staff services,good,good,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,68
24,waitress Yna,waitress Yna,best,best,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,56
24,NULL,NA,favorite,NA,RESTAURANT#GENERAL,NA,positive,NA,56
24,food,food,good,good,FOOD#QUALITY,SERVICE#GENERAL,positive,positive,56
24,drinks,drinks,good,good,DRINKS#QUALITY,FOOD#QUALITY,positive,positive,56
25,sashimi,sashimi,top notch,top notch,FOOD#QUALITY,FOOD#QUALITY,positive,positive,70
25,BBQ skewers,NA,pretty decent,NA,FOOD#QUALITY,NA,positive,NA,70
25,NULL,NA,reasonable,NA,FOOD#PRICES,NA,positive,NA,70
25,private rooms,private rooms,amazing,amazing,AMBIENCE#GENERAL,RESTAURANT#GENERAL,positive,positive,70
25,NA,bbq skewers,NA,decent,NA,FOOD#QUALITY,NA,positive,70
25,NA,private rooms,NA,amazing,NA,RESTAURANT#GENERAL,NA,positive,70
26,salmon,salmon,cooked really well,cooked really well,FOOD#QUALITY,FOOD#QUALITY,positive,positive,123
26,Creme brûlée,NA,extremely enjoyable,NA,FOOD#QUALITY,NA,positive,NA,123
26,service,service,efficient,efficient,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,123
26,service,NA,attentive,NA,SERVICE#GENERAL,NA,positive,NA,123
26,atmosphere,NA,tranquil,NA,AMBIENCE#GENERAL,NA,positive,NA,123
26,atmosphere,NA,enjoyable,NA,AMBIENCE#GENERAL,NA,positive,NA,123
26,parking,parking,difficult to find,accommodating,LOCATION#GENERAL,AMBIENCE#GENERAL,negative,negative,123
26,parking attendants,NA,abrupt,NA,SERVICE#GENERAL,NA,negative,NA,123
26,parking attendants,NA,annoying,NA,SERVICE#GENERAL,NA,negative,NA,123
26,NA,creme brûlée,NA,extremely enjoyable,NA,FOOD#QUALITY,NA,positive,123
26,NA,restaurant,NA,attentive,NA,AMBIENCE#GENERAL,NA,positive,123
26,NA,people purporting to be parking attendants,NA,abundant,NA,SERVICE#GENERAL,NA,negative,123
27,chicken hanith,chicken hanith,amazing,amazing,FOOD#QUALITY,FOOD#QUALITY,positive,positive,98
27,dips @ tanouleh,dips @ tanouleh,amazing,amazing,FOOD#QUALITY,FOOD#QUALITY,positive,positive,98
27,hummus,hummus,amazing,amazing,FOOD#QUALITY,FOOD#QUALITY,positive,positive,98
27,Kanuffa,NA,amazing,NA,FOOD#QUALITY,NA,positive,NA,98
27,Kanuffa,NA,amazing,NA,FOOD#STYLE_OPTIONS,NA,positive,NA,98
27,caramel,NA,amazing,NA,FOOD#QUALITY,NA,positive,NA,98
27,Atasha,NA,warm,NA,SERVICE#GENERAL,NA,positive,NA,98
27,NULL,NA,warm,NA,SERVICE#GENERAL,NA,positive,NA,98
27,NA,Drinks @ tanouleh,NA,amazing,NA,DRINKS#QUALITY,NA,positive,98
27,NA,hummus,NA,amazing,NA,DRINKS#QUALITY,NA,positive,98
28,NULL,NA,NULL,NA,SERVICE#GENERAL,NA,negative,NA,477
28,NA,no scallops,NA,no scallops,NA,FOOD#QUALITY,NA,negative,477
28,NA,crab meat,NA,not available,NA,FOOD#QUALITY,NA,negative,477
28,NA,seafood,NA,not available,NA,FOOD#QUALITY,NA,negative,477
28,NA,duck paté,NA,not available,NA,FOOD#QUALITY,NA,negative,477
28,NA,crab meat,NA,not available,NA,FOOD#QUALITY,NA,negative,477
28,NA,main course,NA,not available,NA,FOOD#QUALITY,NA,negative,477
29,Mutton Poriyal,NA,dry,NA,FOOD#QUALITY,NA,negative,NA,112
29,Mutton Poriyal,NA,salty,NA,FOOD#QUALITY,NA,negative,NA,112
29,Negombo Prawn,NA,excellent,NA,FOOD#QUALITY,NA,positive,NA,112
29,NULL,NULL,pleasant,salty,AMBIENCE#GENERAL,FOOD#QUALITY,positive,negative,112
29,NULL,NULL,good,excellent,FOOD#STYLE_OPTIONS,FOOD#QUALITY,positive,negative,112
29,NULL,NULL,great,good,SERVICE#GENERAL,FOOD#QUALITY,positive,negative,112
29,music,NA,good,NA,AMBIENCE#GENERAL,NA,positive,NA,112
29,menu,NA,Extensive,NA,FOOD#STYLE_OPTIONS,NA,positive,NA,112
29,salt,NA,heavy,NA,FOOD#QUALITY,NA,negative,NA,112
29,NA,mutton,NA,dry,NA,FOOD#QUALITY,NA,negative,112
29,NA,NULL,NA,great,NA,FOOD#QUALITY,NA,negative,112
29,NA,NULL,NA,full,NA,FOOD#QUALITY,NA,negative,112
30,owner,owner,friendly,friendly,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,69
30,owner,NA,talkative,NA,SERVICE#GENERAL,NA,positive,NA,69
30,food,NA,amazing,NA,FOOD#QUALITY,NA,positive,NA,69
30,food,NA,excellent,NA,FOOD#QUALITY,NA,positive,NA,69
30,NULL,NULL,good,talkative,RESTAURANT#GENERAL,SERVICE#GENERAL,positive,positive,69
31,chicken wings,chicken wings,stunninh,stunninh,FOOD#QUALITY,FOOD#QUALITY,positive,positive,29
31,chicken wings,NA,nice taste,NA,FOOD#QUALITY,NA,positive,NA,29
31,food,food,great,great,FOOD#QUALITY,FOOD#QUALITY,positive,positive,29
31,NA,taste,NA,nice,NA,FOOD#QUALITY,NA,positive,29
32,steaks,steaks,good value,good value,FOOD#PRICES,FOOD#QUALITY,positive,positive,104
32,steaks,NA,tender,NA,FOOD#QUALITY,NA,positive,NA,104
32,NULL,NA,mixed,NA,RESTAURANT#GENERAL,NA,positive,NA,104
32,waiting staff,waiting staff,Fun,Fun,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,104
32,acoustic guitar /singer,acoustic guitar /singer,good,Fun,AMBIENCE#GENERAL,SERVICE#GENERAL,positive,positive,104
32,NULL,NA,good range,NA,DRINKS#STYLE_OPTIONS,NA,positive,NA,104
32,juices,NA,good,NA,DRINKS#QUALITY,NA,positive,NA,104
32,juices,NA,good,NA,FOOD#QUALITY,NA,positive,NA,104
32,NULL,NA,nice,NA,AMBIENCE#GENERAL,NA,positive,NA,104
32,NA,wine,NA,Fun,NA,SERVICE#GENERAL,NA,positive,104
32,NA,acoustic guitar /singer,NA,Fun,NA,SERVICE#GENERAL,NA,positive,104
32,NA,acoustic guitar /singer,NA,Fun,NA,SERVICE#GENERAL,NA,positive,104
32,NA,acoustic guitar /singer,NA,Fun,NA,SERVICE#GENERAL,NA,positive,104
32,NA,acoustic guitar /singer,NA,Fun,NA,SERVICE#GENERAL,NA,positive,104
32,NA,acoustic guitar /singer,NA,Fun,NA,SERVICE#GEN,NA,positive,104
33,Peking duck,NA,excellent,NA,FOOD#QUALITY,NA,positive,NA,160
33,service,service,great,great,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,160
33,wait staff,wait staff,some did not speak English,not speaking English,SERVICE#GENERAL,SERVICE#GENERAL,negative,negative,160
33,NULL,NULL,disappointed,not available,FOOD#QUALITY,SERVICE#GENERAL,negative,negative,160
34,beef curry dishes,beef curry dishes,NULL,better,FOOD#QUALITY,FOOD#QUALITY,positive,positive,156
34,coconut juice,coconut juice,NULL,perfect,DRINKS#STYLE_OPTIONS,FOOD#QUALITY,positive,positive,156
34,service,service,quick,quick,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,156
34,service,NA,courteous,NA,SERVICE#GENERAL,NA,positive,NA,156
34,staff,staff,friendly,friendly,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,156
34,staff,NA,attentive,NA,SERVICE#GENERAL,NA,positive,NA,156
34,food,food,cooked to perfection,attentive,FOOD#QUALITY,FOOD#QUALITY,positive,positive,156
34,food,NA,tender,NA,FOOD#QUALITY,NA,positive,NA,156
34,food,NA,full of flavour,NA,FOOD#QUALITY,NA,positive,NA,156
34,NULL,NULL,cosy,perfect,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,156
34,NA,NULL,NA,cosy,NA,AMBIENCE#GENERAL,NA,positive,156
35,octopus,octopus,very good,good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,135
35,octopus,NA,extremely tender,NA,FOOD#QUALITY,NA,positive,NA,135
35,mushroom,mushroom,loved,good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,135
35,chicken wing,chicken wing,tasteless,deboned,FOOD#QUALITY,FOOD#QUALITY,negative,negative,135
35,red rice,red rice,good,good,FOOD#QUALITY,FOOD#QUALITY,positive,negative,135
35,red rice,red rice,tasted as a good risotto,good,FOOD#QUALITY,FOOD#QUALITY,positive,negative,135
35,NULL,NA,annoying,NA,SERVICE#GENERAL,NA,negative,NA,135
35,bill,NA,separate,NA,SERVICE#GENERAL,NA,negative,NA,135
36,oyster,oyster,best,best,FOOD#QUALITY,FOOD#QUALITY,positive,positive,31
36,salmon,salmon,great,best,FOOD#QUALITY,FOOD#QUALITY,positive,positive,31
36,salmon,salmon,perfectly cook,perfectly cook,FOOD#QUALITY,FOOD#QUALITY,positive,positive,31
37,Nasi Lemak,Nasi Lemak,best,best,FOOD#QUALITY,FOOD#QUALITY,positive,positive,136
37,sambal,sambal,sweeter,sweeter,FOOD#QUALITY,FOOD#QUALITY,positive,positive,136
38,ambience,ambience,nice,nice,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,22
38,food,food,good,taste good,FOOD#QUALITY,FOOD#QUALITY,positive,positive,22
38,waiters,waiters,friendly,friendly,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,22
38,NULL,NA,free hockey parking,NA,RESTAURANT#MISCELLANEOUS,NA,positive,NA,22
38,NA,free hockey parking,NA,great,NA,SERVICE#GENERAL,NA,positive,22
39,staff,staff,Helpful,Helpful,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,33
39,NULL,NA,cater,NA,FOOD#STYLE_OPTIONS,NA,positive,NA,33
39,Decor,Decor,traditional,traditional south Indian,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,33
39,Decor,NA,unique,NA,AMBIENCE#GENERAL,NA,positive,NA,33
39,Food,Food,nice,nice,FOOD#QUALITY,FOOD#QUALITY,positive,positive,33
39,Atmosphere,Atmosphere,quiet,homely,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,33
39,Atmosphere,NA,homely,NA,AMBIENCE#GENERAL,NA,positive,NA,33
40,Hana,NA,friendlist,NA,SERVICE#GENERAL,NA,positive,NA,31
40,Hana,NA,nicest,NA,SERVICE#GENERAL,NA,positive,NA,31
40,Hana,NA,served with care and love,NA,SERVICE#GENERAL,NA,positive,NA,31
40,NULL,NA,good,NA,FOOD#QUALITY,NA,positive,NA,31
40,NULL,NA,foood,NA,FOOD#QUALITY,NA,positive,NA,31
40,NULL,NA,Atmosphere,NA,AMBIENCE#GENERAL,NA,positive,NA,31
40,NA,Service,NA,friendlist,NA,SERVICE#GENERAL,NA,positive,31
40,NA,Food,NA,nicest,NA,FOOD#QUALITY,NA,positive,31
40,NA,atmosphere,NA,good,NA,AMBIENCE#GENERAL,NA,positive,31
41,facilities,facilities,clean,good,RESTAURANT#GENERAL,AMBIENCE#GENERAL,positive,positive,51
41,facilities,NA,efficient,NA,RESTAURANT#GENERAL,NA,positive,NA,51
41,staff,staff,pleasant,friendly,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,51
41,eateries,NA,modern,NA,RESTAURANT#GENERAL,NA,positive,NA,51
41,food,NA,delicious,NA,FOOD#QUALITY,NA,positive,NA,51
41,food,NA,over priced,NA,FOOD#PRICES,NA,negative,NA,51
41,food,NA,variations,NA,FOOD#STYLE_OPTIONS,NA,positive,NA,51
41,NA,NULL,NA,modern,NA,AMBIENCE#GENERAL,NA,positive,51
42,calamari rings,calamari rings,tough,tough,FOOD#QUALITY,FOOD#QUALITY,negative,negative,163
42,Stuffed Jalapenos,Stuffed Jalapenos,not bad,not bad,FOOD#QUALITY,FOOD#QUALITY,neutral,negative,163
42,Stuffed Jalapenos,Stuffed Jalapenos,not good,not good,FOOD#QUALITY,FOOD#QUALITY,negative,negative,163
42,pizza,NA,horrible,NA,FOOD#QUALITY,NA,negative,NA,163
42,NULL,NULL,disappointment,not good,FOOD#QUALITY,FOOD#QUALITY,negative,negative,163
